iter	Logloss
0	0.6780856937
1	0.665747489
2	0.654103413
3	0.6416689314
4	0.6308022955
5	0.620756158
6	0.6105698464
7	0.6022337029
8	0.5938293849
9	0.5872931928
10	0.5801643804
11	0.5718009248
12	0.5651913011
13	0.5586197564
14	0.5521996834
15	0.5460210287
16	0.5402358198
17	0.5345594757
18	0.5296317185
19	0.5238046042
20	0.5194016355
21	0.5141912842
22	0.5101116044
23	0.5061555202
24	0.5021676899
25	0.4987580547
26	0.4944306019
27	0.491573729
28	0.4881692074
29	0.4854878562
30	0.4829400755
31	0.48003961
32	0.4776580007
33	0.4751859764
34	0.4727288787
35	0.469762176
36	0.4679322667
37	0.4659076926
38	0.4638276445
39	0.4616974509
40	0.4598621239
41	0.4581000734
42	0.4560755199
43	0.4541644509
44	0.4526662939
45	0.4511622684
46	0.449585999
47	0.4483478142
48	0.4470025713
49	0.4458671772
50	0.4442645622
51	0.4430827578
52	0.4417677448
53	0.4403026385
54	0.4391002629
55	0.438036061
56	0.4370429274
57	0.4360807263
58	0.4351800765
59	0.4342610682
60	0.4332579044
61	0.4324020189
62	0.4316126976
63	0.430875476
64	0.4302270877
65	0.4295462622
66	0.4286862001
67	0.4278497323
68	0.4270395619
69	0.4260701115
70	0.4253578359
71	0.4245621888
72	0.4238700019
73	0.4233707506
74	0.4228422028
75	0.4222690023
76	0.4219080201
77	0.4214401816
78	0.4208104083
79	0.4202518796
80	0.4197338307
81	0.4190752063
82	0.4184734758
83	0.4177928333
84	0.4171244406
85	0.4165962207
86	0.4161631215
87	0.4157188305
88	0.4152946307
89	0.4147199979
90	0.4141686176
91	0.4135550375
92	0.4131671256
93	0.4128324621
94	0.4124737197
95	0.4119979108
96	0.4116030061
97	0.4112996251
98	0.4109629665
99	0.4106807232
100	0.4103686897
101	0.4099997694
102	0.4096622316
103	0.4094136481
104	0.409172618
105	0.4089262815
106	0.4086220018
107	0.4083921517
108	0.408009284
109	0.407747159
110	0.4075469503
111	0.4071712343
112	0.4070726906
113	0.4068926974
114	0.4066076959
115	0.4061263779
116	0.4058211867
117	0.4055182273
118	0.4050488902
119	0.4047545384
120	0.4044636458
121	0.4041278028
122	0.4037898442
123	0.4033907731
124	0.4030985727
125	0.4028809104
126	0.4026560739
127	0.4023358027
128	0.402056093
129	0.4018245787
130	0.4015352628
131	0.4012655479
132	0.401086687
133	0.4008262921
134	0.4005511834
135	0.4002869687
136	0.4001011702
137	0.3999029106
138	0.3996455827
139	0.3994129007
